Shift,Material,Department,Machine,Process Type,Outside Process,Outside Process Type,Hardware,Hardware Type,Deburr,Total Parts,Defect Count,Defect Rate,Thread,Defect Type,Possible Cause,Production Cost
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,YCM_1,Surface_Finish_Critical,No,None,No,None,Manually Deburred,1603,29,1.84,Yes,Damage_To_Surface,Tool_On_Machine_Broke,484
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Small_Wia,Surface_Finish_Critical,No,None,Yes,Fasteners,Manually Deburred,1205,24,2.0,No,Out_Of_Tolerance,Material_Defect,469
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Small_Wia,Tight_Tolerance,No,None,No,None,Part_Deburred_On_Machine,639,24,3.68,No,Incorrect_Engraving,Improper_Setup,397
First 6:00AM-2:30PM,6061 Aluminum,Mill,NFX400A,Standard,Yes,Colored_Paint,Yes,Screw,Manually Deburred,2020,11,0.54,Yes,Thread_Defect,Improper_Setup,600
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Small_Wia,High_Precision,Yes,Nickel_Plating,Yes,Screw,Part_Deburred_On_Machine,382,15,3.99,Yes,Dent,Machine_Broke_Down,630
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,Matsuura_MAM72,Standard,Yes,Electroless_Nickel_Plating,Yes,Fasteners,Manually Deburred,1559,26,1.65,Yes,Incorrect_Engraving,Tool_On_Machine_Broke,795
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Tight_Tolerance,No,None,Yes,Screw,Manually Deburred,516,5,1.0,Yes,Missing_Feature,Loaded_Part_On_Wrong_Size,222
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Miyano_BND,Standard,No,None,Yes,Hinge,Part_Deburred_On_Machine,1426,56,3.91,Yes,Scratches,Damaged_When_Shipped_To_Customer,863
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Small_Wia,Standard,Yes,Beadblast,No,None,Part_Deburred_On_Machine,1188,38,3.23,Yes,Incorrect_Depth,Measurement_Error,879
First 6:00AM-2:30PM,303 Stainless Steel,Mill,NFX400A,Secondary_Operation,No,None,No,None,Manually Deburred,1783,43,2.43,No,Burrs_In_Part,Incorrect_Tool_Used,666
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Big_Wia,Secondary_Operation,No,None,No,None,Manually Deburred,1352,53,3.91,Yes,Burrs_In_Part,Careless_Deburring,796
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,Yes,Bolts,Part_Deburred_On_Machine,1368,7,0.49,No,Incorrect_Engraving,Damaged_When_Shipped_To_Customer,226
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,No,None,Yes,Dowel_Pins,Manually Deburred,946,11,1.2,Yes,Burrs_In_Part,Incorrect_Tool_Used,300
Second 1:30PM to 9:30PM,Steel,Mill,Matsuura_MAM72,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,1113,2,0.19,No,Damage_To_Surface,Incorrect_Tool_Used,111
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Secondary_Operation,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,203,5,2.34,No,Dent,Incorrect_Print,450
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Nickel_Plating,Yes,Bolts,Part_Deburred_On_Machine,2588,46,1.78,No,Incorrect_Depth,Careless_Deburring,1033
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,Yes,Gold_Anodize,Yes,Screw,Manually Deburred,1748,45,2.59,Yes,Scratches,Damaged_When_Shipped_To_Customer,1042
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,Matsuura_MAM72,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,1925,38,1.96,No,Incorrect_Engraving,Loaded_Part_On_Wrong_Size,579
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,YCM_3,Standard,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,1318,27,2.05,Yes,Missing_Feature,Damaged_When_Shipped_To_Customer,736
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Miyano_BND,High_Precision,Yes,Clear_Hard_Anodize,Yes,Hinge,Manually Deburred,1986,10,0.52,Yes,Scratches,Careless_Deburring,587
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,Yes,Chem_Film,Yes,Screw,Manually Deburred,150,2,1.29,Yes,Incorrect_Hole_Size,Improper_Setup,483
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,NFX400A,Secondary_Operation,Yes,Clear_Chromate,Yes,Dowel_Pins,Manually Deburred,1568,43,2.73,Yes,Incorrect_Engraving,Part_Lifted_On_Machine,1016
First 6:00AM-2:30PM,6063 Aluminum,Mill,YCM_1,High_Precision,No,None,Yes,Fasteners,Manually Deburred,2616,102,3.89,Yes,Damage_To_Surface,Improper_Setup,1483
First 6:00AM-2:30PM,6061 Aluminum,Mill,Doosan_HC400_II,High_Precision,Yes,Zinc_Plating,Yes,Screw,Manually Deburred,2363,65,2.73,No,Dent,Improper_Setup,1302
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,Doosan_HC400_II,Surface_Finish_Critical,Yes,Chem_Film,No,None,Manually Deburred,970,37,3.78,Yes,Missing_Feature,Part_Lifted_On_Machine,888
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Big_Wia,High_Precision,Yes,Passivation,No,None,Manually Deburred,1015,5,0.52,Yes,Burrs_In_Part,Operator_Mistake,472
First 6:00AM-2:30PM,Steel,Lathe,Big_Wia,High_Precision,No,None,No,None,Manually Deburred,109,3,2.74,Yes,Incorrect_Depth,Tool_On_Machine_Broke,146
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,Doosan_HC400_II,High_Precision,Yes,Clear_Chromate,Yes,Dowel_Pins,Manually Deburred,1175,52,4.44,No,Scratches,Damaged_When_Shipped_To_Customer,1133
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Samsung_SL15E,High_Precision,Yes,Chem_Film,Yes,Bolts,Part_Deburred_On_Machine,2286,66,2.87,Yes,Incorrect_Engraving,Incorrect_Tool_Used,1293
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Small_Wia,Standard,No,None,Yes,Fasteners,Part_Deburred_On_Machine,795,3,0.43,Yes,Incorrect_Engraving,Material_Defect,174
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,Yes,Clear_Chromate,No,None,Manually Deburred,1635,37,2.28,No,Dent,Tool_On_Machine_Broke,888
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,Matsuura_MAM72,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,1591,49,3.1,Yes,Missing_Feature,Programming_Error,722
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Standard,No,None,No,None,Manually Deburred,347,9,2.68,Yes,Incorrect_Hole_Size,Improper_Setup,224
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Small_Wia,High_Precision,Yes,Gold_Anodize,No,None,Manually Deburred,2172,46,2.11,No,Missing_Feature,Machine_Broke_Down,1005
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Small_Wia,Standard,Yes,Zinc_Plating,Yes,Hinge,Part_Deburred_On_Machine,28,1,2.63,Yes,Incorrect_Engraving,Careless_Deburring,448
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,YCM_3,Surface_Finish_Critical,Yes,Chem_Film,Yes,Hinge,Part_Deburred_On_Machine,2609,43,1.65,No,Incorrect_Hole_Size,Incorrect_Tool_Used,994
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,296,9,2.93,Yes,Incorrect_Engraving,Programming_Error,502
Second 1:30PM to 9:30PM,Steel,Lathe,Small_Wia,Secondary_Operation,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,2376,76,3.21,Yes,Burrs_In_Part,Careless_Deburring,1373
First 6:00AM-2:30PM,6061 Aluminum,Mill,NFX400A,High_Precision,No,None,Yes,Screw,Part_Deburred_On_Machine,712,1,0.09,Yes,Out_Of_Tolerance,Careless_Deburring,148
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Samsung_SL15E,High_Precision,No,None,No,None,Part_Deburred_On_Machine,2145,23,1.07,Yes,Out_Of_Tolerance,Operator_Mistake,384
Second 1:30PM to 9:30PM,Steel,Mill,YCM_2,Surface_Finish_Critical,Yes,Chem_Film,Yes,Bolts,Manually Deburred,605,4,0.71,No,Incorrect_Hole_Size,Incorrect_Tool_Used,509
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Small_Wia,Secondary_Operation,No,None,No,None,Manually Deburred,1677,24,1.45,No,Incorrect_Hole_Size,Tool_On_Machine_Broke,419
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Secondary_Operation,Yes,White_Paint,Yes,Bolts,Part_Deburred_On_Machine,446,13,3.0,No,Incorrect_Engraving,Careless_Deburring,604
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,1301,15,1.12,Yes,Incorrect_Depth,Incorrect_Tool_Used,280
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Small_Wia,Tight_Tolerance,No,None,Yes,Hinge,Part_Deburred_On_Machine,1424,68,4.77,Yes,Out_Of_Tolerance,Machine_Broke_Down,1019
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Miyano_BND,Standard,No,None,Yes,Fasteners,Manually Deburred,761,36,4.69,No,Damage_To_Surface,Improper_Setup,625
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,Yes,Clear_Chromate,Yes,Hinge,Part_Deburred_On_Machine,1959,16,0.82,No,Out_Of_Tolerance,Incorrect_Tool_Used,643
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,YCM_3,High_Precision,No,None,Yes,Dowel_Pins,Manually Deburred,594,18,2.96,Yes,Missing_Feature,Damaged_When_Shipped_To_Customer,391
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,Yes,Dowel_Pins,Manually Deburred,2792,5,0.19,Yes,Missing_Feature,Measurement_Error,222
First 6:00AM-2:30PM,6063 Aluminum,Mill,Matsuura_MAM72,High_Precision,No,None,Yes,Bolts,Part_Deburred_On_Machine,1455,61,4.17,No,Scratches,Careless_Deburring,928
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Nickel_Plating,Yes,Fasteners,Manually Deburred,1305,12,0.94,No,Material_Cut_Too_Small,Part_Lifted_On_Machine,613
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,YCM_2,Tight_Tolerance,Yes,Beadblast,No,None,Part_Deburred_On_Machine,686,19,2.77,Yes,Burrs_In_Part,Operator_Mistake,632
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,No,None,No,None,Part_Deburred_On_Machine,173,2,0.9,No,Missing_Feature,Measurement_Error,111
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,YCM_1,High_Precision,Yes,Clear_Chromate,Yes,Dowel_Pins,Manually Deburred,1787,41,2.3,Yes,Incorrect_Depth,Part_Lifted_On_Machine,990
Second 1:30PM to 9:30PM,7075 Aluminum,Mill,YCM_1,Standard,No,None,No,None,Part_Deburred_On_Machine,616,5,0.73,No,Missing_Feature,Operator_Mistake,150
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,No,None,Yes,Bolts,Part_Deburred_On_Machine,1360,61,4.47,No,Incorrect_Depth,Measurement_Error,928
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,NFX400A,Surface_Finish_Critical,Yes,Clear_Hard_Anodize,No,None,Manually Deburred,472,3,0.56,No,Damage_To_Surface,Part_Lifted_On_Machine,446
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Small_Wia,Surface_Finish_Critical,Yes,Nickel_Plating,No,None,Part_Deburred_On_Machine,1002,45,4.45,No,Scratches,Careless_Deburring,970
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Secondary_Operation,Yes,Passivation,No,None,Manually Deburred,1045,43,4.14,No,Material_Cut_Too_Small,Tool_On_Machine_Broke,966
First 6:00AM-2:30PM,430 Stainless Steel,Mill,Matsuura_MAM72,Secondary_Operation,Yes,Passivation,No,None,Part_Deburred_On_Machine,1628,67,4.14,Yes,Dent,Loaded_Part_On_Wrong_Size,1256
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Small_Wia,Secondary_Operation,Yes,Beadblast,Yes,Bolts,Manually Deburred,2024,57,2.81,No,Out_Of_Tolerance,Tool_On_Machine_Broke,1198
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Small_Wia,Tight_Tolerance,No,None,Yes,Fasteners,Part_Deburred_On_Machine,2562,106,4.15,No,Damage_To_Surface,Incorrect_Tool_Used,1513
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,Doosan_HC400_II,Surface_Finish_Critical,No,None,Yes,Fasteners,Manually Deburred,539,2,0.38,Yes,Burrs_In_Part,Operator_Mistake,183
Second 1:30PM to 9:30PM,6063 Aluminum,Mill,YCM_1,Surface_Finish_Critical,No,None,No,None,Manually Deburred,2529,51,2.0,No,Incorrect_Hole_Size,Tool_On_Machine_Broke,770
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Samsung_SL15E,Standard,No,None,No,None,Part_Deburred_On_Machine,2903,55,1.9,Yes,Material_Cut_Too_Small,Improper_Setup,800
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Big_Wia,High_Precision,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,1943,65,3.34,Yes,Incorrect_Depth,Careless_Deburring,980
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Miyano_BND,Standard,Yes,Electroless_Nickel_Plating,Yes,Bolts,Part_Deburred_On_Machine,2944,62,2.11,Yes,Missing_Feature,Improper_Setup,1241
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,2608,107,4.11,Yes,Thread_Defect,Improper_Setup,1476
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,No,None,Yes,Fasteners,Manually Deburred,931,17,1.79,Yes,Scratches,Careless_Deburring,378
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,YCM_1,Standard,No,None,No,None,Manually Deburred,2028,5,0.27,No,Material_Cut_Too_Small,Operator_Mistake,172
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Samsung_SL15E,Standard,No,None,No,None,Part_Deburred_On_Machine,1672,62,3.72,No,Out_Of_Tolerance,Incorrect_Revision_Level,891
Second 1:30PM to 9:30PM,7075 Aluminum,Mill,YCM_1,Standard,Yes,Colored_Paint,No,None,Manually Deburred,1242,37,2.97,No,Out_Of_Tolerance,Incorrect_Revision_Level,888
First 6:00AM-2:30PM,Steel,Mill,YCM_2,High_Precision,Yes,Heat_Treatment,No,None,Manually Deburred,431,6,1.3,Yes,Damage_To_Surface,Material_Defect,485
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Miyano_BND,Standard,Yes,Nickel_Plating,Yes,Dowel_Pins,Part_Deburred_On_Machine,749,33,4.42,Yes,Burrs_In_Part,Operator_Mistake,864
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Manually Deburred,502,5,1.09,No,Burrs_In_Part,Incorrect_Tool_Used,172
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,Yes,Nickel_Plating,Yes,Hinge,Manually Deburred,2263,80,3.51,No,Incorrect_Engraving,Damaged_When_Shipped_To_Customer,1497
First 6:00AM-2:30PM,6061 Aluminum,Mill,NFX400A,High_Precision,Yes,Electroless_Nickel_Plating,No,None,Manually Deburred,1959,22,1.14,No,Damage_To_Surface,Tool_On_Machine_Broke,693
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Standard,No,None,No,None,Part_Deburred_On_Machine,2574,68,2.65,Yes,Dent,Part_Lifted_On_Machine,969
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,Yes,Zinc_Plating,Yes,Hinge,Part_Deburred_On_Machine,966,35,3.59,Yes,Damage_To_Surface,Operator_Mistake,890
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Samsung_SL15E,Surface_Finish_Critical,Yes,Passivation,No,None,Part_Deburred_On_Machine,2349,66,2.8,Yes,Incorrect_Depth,Material_Defect,1243
First 6:00AM-2:30PM,430 Stainless Steel,Mill,YCM_2,Surface_Finish_Critical,Yes,Beadblast,Yes,Screw,Part_Deburred_On_Machine,2432,4,0.16,No,Incorrect_Hole_Size,Programming_Error,487
First 6:00AM-2:30PM,7075 Aluminum,Mill,Doosan_HC400_II,Secondary_Operation,Yes,Colored_Hard_Anodize,No,None,Part_Deburred_On_Machine,2497,73,2.93,Yes,Material_Cut_Too_Small,Careless_Deburring,1334
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Big_Wia,Standard,No,None,Yes,Bolts,Manually Deburred,836,12,1.43,Yes,Material_Cut_Too_Small,Incorrect_Print,313
Second 1:30PM to 9:30PM,Steel,Lathe,Small_Wia,Secondary_Operation,No,None,No,None,Manually Deburred,1081,50,4.59,Yes,Burrs_In_Part,Careless_Deburring,757
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_2,High_Precision,No,None,No,None,Part_Deburred_On_Machine,2054,44,2.13,No,Missing_Feature,Incorrect_Revision_Level,657
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Big_Wia,Tight_Tolerance,No,None,No,None,Manually Deburred,2211,23,1.06,Yes,Damage_To_Surface,Loaded_Part_On_Wrong_Size,406
Second 1:30PM to 9:30PM,6063 Aluminum,Mill,YCM_1,High_Precision,No,None,No,None,Manually Deburred,554,23,4.1,Yes,Material_Cut_Too_Small,Incorrect_Revision_Level,406
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Big_Wia,Secondary_Operation,Yes,Clear_Chromate,Yes,Hinge,Part_Deburred_On_Machine,780,38,4.91,Yes,Dent,Incorrect_Revision_Level,929
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Miyano_BND,Secondary_Operation,Yes,White_Paint,No,None,Manually Deburred,385,8,1.95,No,Material_Cut_Too_Small,Loaded_Part_On_Wrong_Size,511
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_2,High_Precision,No,None,No,None,Part_Deburred_On_Machine,1145,8,0.73,Yes,Incorrect_Depth,Improper_Setup,189
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Big_Wia,Standard,Yes,Beadblast,No,None,Manually Deburred,689,30,4.35,Yes,Scratches,Damaged_When_Shipped_To_Customer,797
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Small_Wia,Standard,Yes,Colored_Hard_Anodize,No,None,Manually Deburred,281,5,1.81,No,Incorrect_Hole_Size,Improper_Setup,472
Second 1:30PM to 9:30PM,Steel,Mill,YCM_1,Secondary_Operation,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,1609,19,1.19,No,Missing_Feature,Loaded_Part_On_Wrong_Size,632
Second 1:30PM to 9:30PM,6061 Aluminum,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,564,24,4.29,No,Missing_Feature,Careless_Deburring,397
First 6:00AM-2:30PM,304 Stainless Steel,Mill,YCM_2,Surface_Finish_Critical,No,None,Yes,Screw,Manually Deburred,1644,54,3.26,No,Out_Of_Tolerance,Careless_Deburring,859
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,High_Precision,Yes,Grinding,No,None,Manually Deburred,1296,5,0.39,No,Incorrect_Engraving,Operator_Mistake,472
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,YCM_1,Tight_Tolerance,Yes,Gold_Anodize,No,None,Manually Deburred,2701,74,2.74,Yes,Incorrect_Engraving,Incorrect_Tool_Used,1369
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Big_Wia,Secondary_Operation,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,1993,10,0.5,Yes,Incorrect_Hole_Size,Programming_Error,265
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,No,None,Yes,Dowel_Pins,Manually Deburred,2233,79,3.55,Yes,Scratches,Careless_Deburring,1184
First 6:00AM-2:30PM,Steel,Mill,NFX400A,Standard,Yes,Gold_Anodize,No,None,Manually Deburred,1849,23,1.23,Yes,Burrs_In_Part,Incorrect_Tool_Used,706
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,Yes,Clear_Chromate,No,None,Part_Deburred_On_Machine,1812,44,2.45,No,Scratches,Damaged_When_Shipped_To_Customer,957
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Small_Wia,Secondary_Operation,No,None,Yes,Fasteners,Part_Deburred_On_Machine,2106,82,3.89,Yes,Missing_Feature,Loaded_Part_On_Wrong_Size,1201
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,YCM_3,Surface_Finish_Critical,Yes,White_Paint,No,None,Manually Deburred,1616,71,4.37,No,Missing_Feature,Damaged_When_Shipped_To_Customer,1330
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,White_Paint,Yes,Hinge,Manually Deburred,1003,10,1.0,Yes,Damage_To_Surface,Programming_Error,587
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Miyano_BND,High_Precision,No,None,Yes,Hinge,Part_Deburred_On_Machine,908,41,4.55,No,Missing_Feature,Material_Defect,668
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,No,None,Part_Deburred_On_Machine,729,29,4.03,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,462
First 6:00AM-2:30PM,7075 Aluminum,Mill,NFX400A,Standard,Yes,Chem_Film,No,None,Part_Deburred_On_Machine,866,15,1.73,No,Incorrect_Depth,Incorrect_Tool_Used,580
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,No,None,Yes,Bolts,Part_Deburred_On_Machine,49,2,3.87,Yes,Dent,Measurement_Error,161
First 6:00AM-2:30PM,303 Stainless Steel,Mill,Doosan_HC400_II,Tight_Tolerance,Yes,Colored_Hard_Anodize,No,None,Manually Deburred,1339,59,4.38,Yes,Incorrect_Depth,Tool_On_Machine_Broke,1174
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Miyano_BND,Surface_Finish_Critical,Yes,Clear_Chromate,Yes,Hinge,Part_Deburred_On_Machine,1537,52,3.37,Yes,Incorrect_Depth,Incorrect_Tool_Used,1111
First 6:00AM-2:30PM,303 Stainless Steel,Mill,Doosan_HC400_II,Tight_Tolerance,Yes,Electroless_Nickel_Plating,Yes,Hinge,Manually Deburred,2472,7,0.27,No,Out_Of_Tolerance,Incorrect_Print,548
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,228,8,3.41,Yes,Missing_Feature,Loaded_Part_On_Wrong_Size,189
First 6:00AM-2:30PM,6061 Aluminum,Mill,Doosan_HC400_II,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,2361,77,3.27,No,Scratches,Damaged_When_Shipped_To_Customer,1086
Second 1:30PM to 9:30PM,Steel,Lathe,Big_Wia,High_Precision,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,1513,38,2.53,Yes,Scratches,Damaged_When_Shipped_To_Customer,879
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_3,Standard,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,1903,51,2.66,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,798
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Small_Wia,High_Precision,No,None,Yes,Bolts,Manually Deburred,769,23,3.03,Yes,Missing_Feature,Measurement_Error,456
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,Matsuura_MAM72,Secondary_Operation,Yes,Clear_Hard_Anodize,No,None,Manually Deburred,265,7,2.76,Yes,Burrs_In_Part,Incorrect_Tool_Used,498
Second 1:30PM to 9:30PM,303 Stainless Steel,Lathe,Small_Wia,Secondary_Operation,No,None,Yes,Fasteners,Manually Deburred,1035,31,2.97,No,Out_Of_Tolerance,Programming_Error,560
Second 1:30PM to 9:30PM,6061 Aluminum,Mill,YCM_1,Secondary_Operation,No,None,Yes,Fasteners,Manually Deburred,2965,24,0.81,Yes,Missing_Feature,Material_Defect,469
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,1625,44,2.69,No,Damage_To_Surface,Tool_On_Machine_Broke,957
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,Yes,Gold_Anodize,No,None,Part_Deburred_On_Machine,1821,88,4.83,No,Damage_To_Surface,Tool_On_Machine_Broke,1529
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,541,10,1.76,No,Incorrect_Depth,Improper_Setup,215
Second 1:30PM to 9:30PM,304 Stainless Steel,Mill,YCM_2,Standard,No,None,Yes,Bolts,Manually Deburred,1185,15,1.27,Yes,Material_Cut_Too_Small,Incorrect_Tool_Used,352
First 6:00AM-2:30PM,7075 Aluminum,Mill,YCM_3,Surface_Finish_Critical,Yes,Beadblast,No,None,Manually Deburred,158,2,1.18,No,Scratches,Careless_Deburring,433
Second 1:30PM to 9:30PM,303 Stainless Steel,Mill,Matsuura_MAM72,Secondary_Operation,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,393,11,2.78,No,Dent,Material_Defect,528
Second 1:30PM to 9:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Secondary_Operation,Yes,Electroless_Nickel_Plating,No,None,Part_Deburred_On_Machine,1166,24,2.07,No,Missing_Feature,Part_Lifted_On_Machine,697
Second 1:30PM to 9:30PM,430 Stainless Steel,Mill,Doosan_HC400_II,High_Precision,Yes,Clear_Hard_Anodize,Yes,Bolts,Manually Deburred,193,6,2.9,Yes,Scratches,Operator_Mistake,535
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Samsung_SL15E,Standard,Yes,Passivation,Yes,Fasteners,Part_Deburred_On_Machine,534,13,2.41,Yes,Dent,Incorrect_Revision_Level,604
Second 1:30PM to 9:30PM,6063 Aluminum,Lathe,Big_Wia,Secondary_Operation,No,None,No,None,Manually Deburred,2582,78,3.0,Yes,Dent,Damaged_When_Shipped_To_Customer,1121
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,No,None,No,None,Manually Deburred,743,23,3.06,Yes,Scratches,Damaged_When_Shipped_To_Customer,406
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,595,5,0.9,No,Missing_Feature,Incorrect_Revision_Level,150
